Timestamp,Runtime_s,CPU_Usage_percent,Memory_Usage_MB,Colors_Used
2024-09-19 10:40:16,76.228,59.6,106.42,3
2024-09-19 13:23:46,2.562,101.3,107.22,5
2024-09-19 13:23:51,2.510,101.2,105.28,5
2024-09-19 13:23:56,2.931,102.1,105.42,6
2024-09-19 13:24:02,2.506,101.2,105.48,5
2024-09-19 13:24:10,2.654,101.2,107.70,5
2024-09-19 13:24:17,2.517,101.2,107.78,5
2024-09-19 13:29:39,4.296,101.7,104.67,7
2024-09-19 13:29:44,5.189,101.8,104.86,9
2024-09-19 13:29:49,4.957,101.3,104.94,9
2024-09-19 13:29:55,5.214,101.3,105.14,9
2024-09-19 13:29:59,4.407,101.3,107.28,8
2024-09-19 13:30:04,4.867,101.5,107.28,8
2024-09-19 13:30:23,1.620,101.0,107.02,4
2024-09-19 13:30:38,1.565,101.1,107.14,4
2024-09-19 13:30:54,1.665,101.2,107.33,4
2024-09-19 13:31:13,1.535,101.0,107.44,4
2024-09-19 13:31:18,1.513,101.1,107.45,4
2024-09-19 13:31:28,1.756,101.2,107.44,4
2024-09-19 13:31:34,1.542,101.2,107.39,4
2024-09-19 13:31:44,1.670,101.1,107.39,4
2024-09-19 13:32:30,1.605,101.2,107.42,4
2024-09-19 13:32:53,1.536,101.3,107.45,4
2024-09-19 13:33:09,1.536,101.1,107.42,4
2024-09-19 13:33:20,1.537,101.2,107.47,4
2024-09-19 13:33:30,1.442,101.1,107.45,3
2024-09-19 13:33:41,1.551,101.3,107.47,4
2024-09-19 13:33:45,1.528,101.1,107.52,4
2024-09-19 13:35:36,1.527,101.3,112.33,4
2024-09-19 13:36:02,1.504,101.1,113.66,4
2024-09-19 13:37:04,1.567,101.2,113.59,4
2024-09-19 13:39:16,2.180,101.1,114.38,4
2024-09-19 13:40:39,2.462,101.2,114.75,4
2024-09-19 13:41:06,2.473,101.3,114.11,4
2024-09-19 13:42:34,0.507,101.0,109.38,2
2024-09-19 13:45:59,2.951,101.2,113.62,4
2024-09-19 13:46:27,3.070,101.1,113.66,4
2024-09-19 13:46:58,4.920,101.7,114.98,5
2024-09-19 13:47:29,8.154,101.4,114.80,7
2024-09-19 13:49:34,90.287,101.5,110.52,20
2024-09-19 13:50:54,5.975,101.3,114.45,6
2024-09-19 13:52:05,5.142,101.3,111.39,5
2024-09-19 13:52:25,5.021,101.2,111.47,5
2024-09-19 13:52:35,5.645,101.4,116.02,5
2024-09-19 13:52:47,4.923,101.2,111.55,5
2024-09-19 13:52:57,6.181,101.3,116.03,6
2024-09-19 13:53:06,5.416,101.3,111.55,5
2024-09-19 13:53:19,5.885,101.3,111.50,6
2024-09-19 13:53:29,5.010,101.2,111.55,5
2024-09-19 13:53:39,5.909,101.3,111.55,6
2024-09-19 13:53:49,4.859,101.3,111.53,5
2024-09-19 13:54:47,2.823,101.3,113.72,4
2024-09-19 14:19:04,2.878,101.4,114.19,4
2024-09-25 14:19:25,0.088,90.6,113.97,2
2024-09-25 14:19:25,0.087,87.6,113.97,2
2024-09-25 14:19:26,0.088,90.3,113.98,2
2024-09-25 14:36:27,62.661,101.7,114.09,22
2024-09-25 14:42:16,66.103,101.9,113.47,23
2024-09-25 14:43:33,60.807,101.7,114.91,21
2024-09-25 14:50:52,0.425,101.0,112.80,3
2024-09-25 14:51:04,0.429,101.0,108.23,3
2024-09-25 14:51:06,0.426,101.1,110.16,3
2024-09-25 14:51:08,0.423,101.1,108.50,3
2024-09-25 14:51:23,0.459,101.1,107.81,3
2024-09-25 14:53:17,0.428,101.0,86.19,3
2024-09-25 14:53:18,0.429,101.4,79.08,3
2024-09-25 14:53:21,0.427,101.0,79.16,3
2024-09-25 14:53:22,0.425,101.2,79.22,3
2024-09-25 14:53:39,0.433,101.0,113.69,3
2024-09-25 14:53:41,0.503,101.1,113.97,3
2024-09-25 14:53:42,0.422,101.0,118.53,3
2024-09-25 14:53:45,0.428,101.1,109.80,3
2024-09-25 14:53:46,0.435,101.1,109.84,3
2024-09-25 14:54:37,1.284,101.1,110.25,5
2024-09-25 14:54:39,1.006,101.3,115.08,4
2024-09-25 14:54:41,1.294,101.2,110.86,5
2024-09-25 14:54:43,1.268,101.2,115.44,5
2024-09-25 14:54:45,1.281,101.6,115.45,5
2024-09-25 14:54:47,1.130,101.1,110.88,4
2024-09-25 14:55:07,1.268,101.0,110.53,5
2024-09-25 14:55:09,1.318,101.2,110.53,5
2024-09-25 14:55:12,1.264,101.2,115.16,5
2024-09-25 14:55:15,0.982,101.6,115.17,4
2024-09-25 14:55:21,1.273,101.3,115.19,5
2024-09-25 14:55:29,1.053,101.1,115.19,4
2024-09-25 14:55:33,1.270,101.2,110.66,5
2024-09-25 14:55:36,0.991,101.1,115.19,4
2024-09-25 14:55:41,1.287,101.0,115.22,5
2024-09-25 14:55:43,1.068,100.6,115.22,4
2024-09-25 14:55:45,1.279,101.2,115.22,5
2024-09-25 14:55:48,1.280,101.0,110.69,5
2024-09-25 14:55:50,1.059,101.1,110.69,4
2024-09-25 14:57:06,0.113,101.0,112.92,2
2024-09-25 14:57:07,0.113,100.7,113.42,2
2024-09-25 14:57:08,0.114,100.8,113.62,2
2024-09-25 14:57:09,0.113,101.1,109.11,2
2024-09-25 14:57:10,0.113,101.1,113.64,2
2024-09-25 14:57:10,0.114,101.1,113.61,2
2024-09-25 14:57:11,0.113,101.1,113.61,2
2024-09-25 14:57:11,0.113,100.9,113.61,2
2024-09-25 14:57:12,0.113,100.9,113.61,2
2024-09-25 14:57:12,0.113,101.0,113.61,2
2024-09-25 14:57:12,0.112,100.9,113.61,2
2024-09-25 14:57:13,0.121,100.9,113.61,2
2024-09-25 14:57:13,0.113,101.1,113.61,2
2024-09-25 14:57:15,0.113,100.8,113.66,2
2024-09-25 14:57:16,0.114,100.9,113.61,2
2024-09-25 14:57:16,0.116,100.9,113.62,2
2024-09-25 14:57:18,0.113,100.9,113.62,2
2024-09-25 14:57:19,0.113,100.4,113.62,2
2024-09-25 14:57:19,0.114,100.2,113.62,2
2024-09-25 14:57:20,0.113,100.3,113.62,2
2024-09-25 14:57:20,0.113,100.5,113.64,2
2024-09-25 14:57:20,0.113,100.3,113.64,2
2024-09-25 14:57:21,0.113,100.8,113.66,2
2024-09-25 14:57:21,0.115,101.3,113.67,2
2024-09-25 14:57:22,0.113,100.8,113.69,2
2024-09-25 14:57:22,0.113,100.5,109.16,2
2024-09-25 14:57:23,0.113,100.9,109.16,2
2024-09-25 14:57:25,0.114,100.8,113.69,2
2024-09-25 14:57:25,0.113,100.9,113.69,2
2024-09-25 14:57:25,0.113,100.9,113.69,2
2024-09-25 14:57:30,0.112,100.8,113.69,2
2024-09-25 14:57:30,0.113,100.7,109.16,2
2024-09-25 14:57:31,0.114,101.1,113.69,2
2024-09-25 14:57:32,0.113,101.0,109.16,2
2024-09-25 14:57:33,0.112,100.8,113.69,2
