Timestamp,Runtime_s,CPU_Usage_percent,Memory_Usage_MB,Colors_Used
2024-09-18 16:27:44,0.109,10.3,106.53,2
2024-09-18 16:27:44,0.158,12.0,106.73,2
2024-09-18 16:27:45,0.057,12.4,104.67,2
2024-09-18 16:27:45,0.157,11.1,106.75,2
2024-09-18 16:27:46,0.004,5.7,106.77,2
2024-09-18 16:27:47,0.003,5.7,106.77,2
2024-09-18 16:27:47,0.057,12.9,104.70,2
2024-09-18 16:27:48,0.058,13.1,106.80,2
2024-09-18 16:27:48,0.057,12.7,106.80,2
2024-09-18 16:27:49,0.107,10.9,106.73,2
2024-09-18 16:27:50,0.107,12.8,106.69,2
2024-09-18 16:27:56,0.108,12.1,106.84,2
2024-09-18 16:27:56,0.057,13.0,106.84,2
2024-09-18 16:27:57,0.057,12.6,106.86,2
2024-09-18 16:27:58,0.209,12.5,106.86,2
2024-09-18 16:27:58,0.056,11.3,104.86,2
2024-09-18 16:27:58,0.158,11.6,106.92,2
2024-09-18 16:27:59,0.057,12.0,106.97,2
2024-09-18 16:27:59,0.057,11.8,106.97,2
2024-09-18 16:28:00,0.003,5.2,104.91,2
