Figure: large
File Number: 2
Max Generations: 1000
Population Size: 100
Mutation Rate: 0.02
Colors Used: 0
Runtime: 77.99

Generation,Average Fitness,Best Fitness
0,152.88,118
1,144.98,114
2,141.72,108
3,136.74,106
4,134.36,90
5,131.34,90
6,124.64,80
7,122.12,80
8,121.72,80
9,119.38,80
10,120.72,80
11,123.76,80
12,122.06,80
13,117.82,80
14,115.06,80
15,111.24,80
16,107.64,80
17,105.54,72
18,101.62,70
19,97.58,70
20,94.54,64
21,90.96,64
22,89.18,64
23,84.56,62
24,82.86,60
25,80.9,60
26,79.94,58
27,79.74,56
28,79.38,50
29,79.7,50
30,78.14,50
31,75.64,50
32,76.76,48
33,74.82,48
34,74.22,48
35,73.22,48
36,73.8,46
37,74.22,44
38,70.82,44
39,72.08,44
40,71.18,44
41,67.94,42
42,66.9,42
43,66.82,42
44,67.96,42
45,67.18,42
46,66.48,42
47,66.16,36
48,67.8,36
49,66.22,36
50,65.3,36
51,65.3,36
52,64.16,36
53,62.88,36
54,62.42,36
55,63.18,36
56,62.64,36
57,61.62,36
58,62.64,36
59,62.5,36
60,61.42,36
61,61.06,36
62,60.06,36
63,59.34,36
64,56.92,36
65,55.2,36
66,54.92,36
67,55.18,36
68,54.72,36
69,54.7,36
70,54.5,36
71,55.18,36
72,54.66,36
73,55.9,36
74,54.42,36
75,55.76,36
76,55.88,36
77,57.16,34
78,56.48,34
79,55.52,26
80,52.92,26
81,53.24,26
82,53.56,26
83,53.64,26
84,52.84,26
85,52.46,26
86,52.16,26
87,52.38,26
88,51.74,26
89,52.64,26
90,52.08,26
91,51.66,26
92,50.38,26
93,48.58,26
94,48.28,26
95,47.42,26
96,47.42,26
97,46.68,26
98,45.34,26
99,45.56,24
100,44.26,24
101,42.86,24
102,43.3,24
103,42.86,24
104,44.0,24
105,43.86,24
106,43.7,24
107,43.94,24
108,44.84,22
109,44.84,22
110,44.62,22
111,44.96,22
112,44.32,22
113,44.6,22
114,44.88,22
115,45.38,22
116,43.2,22
117,45.74,22
118,44.58,22
119,42.9,20
120,43.22,20
121,42.86,20
122,42.48,20
123,43.92,20
124,43.28,20
125,41.46,20
126,42.28,20
127,41.08,20
128,40.3,20
129,40.98,20
130,41.58,20
131,43.94,20
132,44.54,20
133,43.72,20
134,43.56,20
135,41.2,20
136,41.92,20
137,41.24,20
138,41.54,20
139,40.54,20
140,40.88,20
141,40.42,20
142,41.46,20
143,42.26,20
144,42.46,20
145,42.44,20
146,42.58,20
147,41.46,20
148,39.46,20
149,39.54,20
150,39.52,20
151,40.28,20
152,41.04,20
153,44.02,20
154,44.4,20
155,45.3,20
156,43.72,20
157,42.52,20
158,42.46,20
159,43.88,20
160,43.16,20
161,43.96,20
162,44.1,20
163,44.72,20
164,44.16,20
165,44.14,20
166,42.84,20
167,41.22,20
168,43.2,20
169,42.76,20
170,43.68,20
171,43.44,20
172,41.92,18
173,40.26,18
174,41.72,18
175,40.82,18
176,41.68,18
177,41.36,18
178,40.74,18
179,40.66,18
180,40.48,18
181,40.62,18
182,40.32,18
183,40.88,18
184,41.02,18
185,40.68,18
186,42.06,18
187,42.74,18
188,42.5,18
189,42.48,18
190,43.34,18
191,43.46,18
192,42.46,18
193,41.58,18
194,40.76,16
195,39.5,16
196,40.48,16
197,41.04,16
198,42.34,16
199,41.78,16
200,42.76,16
201,44.54,16
202,44.6,16
203,42.58,16
204,42.72,16
205,41.44,16
206,40.12,16
207,39.28,16
208,38.6,16
209,38.5,16
210,39.64,16
211,38.3,16
212,39.04,16
213,40.1,16
214,39.8,16
215,40.82,16
216,40.24,16
217,38.68,16
218,38.88,16
219,39.9,16
220,40.34,16
221,39.2,16
222,38.48,16
223,39.16,16
224,39.28,16
225,39.26,16
226,39.0,16
227,39.3,16
228,39.44,14
229,40.24,14
230,40.68,14
231,39.56,14
232,39.62,14
233,41.08,14
234,41.4,14
235,42.26,14
236,42.3,14
237,41.94,14
238,42.28,14
239,42.22,14
240,41.44,14
241,41.94,14
242,40.92,14
243,41.04,14
244,40.18,14
245,41.18,14
246,40.28,14
247,39.3,14
248,39.74,14
249,39.26,14
250,39.34,14
251,40.72,14
252,40.54,14
253,40.8,14
254,41.3,14
255,40.92,14
256,38.18,14
257,37.68,14
258,36.98,14
259,37.06,14
260,36.08,14
261,36.28,14
262,37.2,14
263,38.86,14
264,38.02,14
265,38.88,14
266,38.82,14
267,38.54,14
268,38.06,14
269,39.04,14
270,39.18,14
271,39.42,14
272,39.78,14
273,40.24,14
274,40.62,14
275,42.24,14
276,42.42,14
277,43.36,14
278,44.42,14
279,43.7,14
280,43.04,14
281,42.5,14
282,40.68,14
283,40.22,14
284,39.36,14
285,38.26,14
286,38.44,14
287,36.8,14
288,36.24,14
289,37.82,14
290,38.46,14
291,38.54,14
292,38.92,14
293,40.14,14
294,40.62,14
295,41.34,14
296,40.78,14
297,41.58,14
298,42.16,14
299,42.76,14
300,41.28,14
301,42.56,14
302,42.6,14
303,43.18,14
304,42.38,14
305,43.88,14
306,43.7,14
307,41.2,14
308,39.96,14
309,39.74,14
310,39.44,14
311,38.38,14
312,38.6,14
313,39.76,14
314,41.16,14
315,41.52,14
316,41.44,14
317,40.28,14
318,40.02,14
319,39.96,14
320,37.94,14
321,38.06,14
322,39.62,14
323,39.64,14
324,38.84,14
325,39.12,14
326,39.62,14
327,40.14,14
328,40.0,14
329,39.7,14
330,40.02,12
331,39.92,12
332,39.52,12
333,39.22,12
334,38.7,12
335,38.74,12
336,39.18,12
337,38.92,12
338,38.42,12
339,37.48,12
340,36.54,12
341,34.3,12
342,33.96,12
343,33.86,12
344,35.24,12
345,36.26,12
346,34.92,12
347,32.88,12
348,33.26,12
349,33.82,12
350,34.68,12
351,35.48,12
352,36.3,12
353,34.68,12
354,35.02,12
355,34.62,12
356,35.66,12
357,36.2,12
358,36.26,12
359,36.76,12
360,36.12,12
361,36.88,12
362,36.18,12
363,36.62,12
364,37.54,12
365,37.42,12
366,38.18,12
367,38.3,12
368,37.36,12
369,37.12,12
370,36.02,12
371,36.72,12
372,37.24,12
373,38.32,12
374,38.7,12
375,40.4,12
376,40.18,12
377,40.52,12
378,40.0,12
379,40.38,12
380,41.68,12
381,41.38,12
382,41.62,12
383,41.08,12
384,41.24,12
385,41.8,12
386,42.72,12
387,41.3,12
388,38.86,12
389,37.76,12
390,37.42,12
391,37.86,12
392,38.8,12
393,39.08,12
394,38.7,12
395,38.22,12
396,37.64,12
397,37.02,12
398,35.84,12
399,35.04,12
400,34.78,12
401,36.54,12
402,36.6,12
403,37.22,12
404,38.46,12
405,39.54,12
406,40.58,12
407,39.18,12
408,39.38,12
409,37.98,12
410,37.34,12
411,37.8,12
412,35.92,12
413,36.16,12
414,36.12,12
415,37.42,12
416,37.64,12
417,37.14,12
418,38.34,12
419,39.52,12
420,39.72,12
421,38.78,12
422,40.0,12
423,39.5,12
424,39.18,12
425,39.36,12
426,38.54,12
427,38.82,12
428,36.86,12
429,36.16,12
430,37.6,12
431,38.3,12
432,37.52,12
433,39.0,12
434,38.44,12
435,36.94,12
436,37.06,12
437,36.76,12
438,35.28,12
439,36.04,12
440,34.94,12
441,36.5,12
442,38.06,12
443,39.6,12
444,39.54,12
445,38.84,12
446,37.54,12
447,37.72,12
448,37.66,12
449,39.6,12
450,39.72,12
451,38.98,12
452,38.34,12
453,38.68,12
454,39.7,12
455,39.44,12
456,41.02,12
457,41.22,12
458,40.6,12
459,40.72,12
460,40.2,12
461,39.3,12
462,38.62,12
463,39.36,12
464,39.86,12
465,40.0,12
466,40.72,12
467,39.66,12
468,39.28,12
469,39.84,12
470,39.82,12
471,38.84,12
472,38.34,10
473,37.58,10
474,35.64,10
475,34.8,10
476,35.78,10
477,34.88,10
478,34.8,10
479,35.32,10
480,36.18,10
481,37.26,10
482,37.36,10
483,38.04,10
484,39.7,10
485,40.08,10
486,40.26,10
487,39.42,10
488,37.42,10
489,36.5,10
490,37.94,10
491,37.32,10
492,35.92,10
493,35.58,10
494,35.26,10
495,34.02,10
496,33.18,10
497,32.68,10
498,31.38,10
499,31.92,10
500,32.64,10
501,32.68,10
502,32.44,10
503,32.74,10
504,33.3,10
505,33.94,10
506,33.96,10
507,35.92,10
508,35.88,10
509,37.08,10
510,37.66,10
511,38.22,10
512,37.34,10
513,35.98,10
514,36.3,10
515,36.44,10
516,37.16,10
517,37.24,10
518,38.54,10
519,37.32,10
520,39.62,10
521,39.22,10
522,37.24,10
523,37.3,10
524,37.4,10
525,35.98,10
526,35.32,10
527,35.68,10
528,34.74,10
529,35.88,10
530,35.08,10
531,34.28,10
532,33.38,10
533,34.74,10
534,34.76,10
535,36.44,10
536,37.12,10
537,37.04,10
538,37.24,10
539,35.74,10
540,35.66,10
541,35.56,10
542,35.88,10
543,35.66,10
544,34.6,10
545,33.76,10
546,32.94,10
547,33.52,10
548,33.42,10
549,31.72,10
550,32.28,10
551,32.58,10
552,32.26,10
553,34.2,10
554,34.4,10
555,34.14,10
556,34.98,10
557,35.18,10
558,35.18,10
559,34.16,10
560,33.56,10
561,35.28,10
562,35.34,10
563,35.82,10
564,34.88,10
565,33.26,10
566,32.06,10
567,31.22,10
568,32.46,10
569,33.02,10
570,33.44,10
571,33.74,10
572,35.92,10
573,36.68,10
574,36.1,10
575,36.48,10
576,37.76,10
577,37.44,10
578,36.98,10
579,37.7,10
580,37.7,10
581,36.48,10
582,35.5,10
583,34.46,10
