Figure: large_min_colors
File Number: 1
Max Generations: 1000
Population Size: 100
Mutation Rate: 0.02
Colors Used: 219
Runtime: 58.97

Generation,Average Fitness,Best Fitness
0,207.32,160
1,200.44,158
2,196.4,158
3,191.82,154
4,190.8,154
5,188.6,150
6,187.0,146
7,183.9,146
8,183.26,146
9,180.48,138
10,177.52,138
11,175.38,138
12,173.74,138
13,171.44,138
14,170.84,130
15,167.94,130
16,168.3,128
17,162.54,128
18,160.64,128
19,159.52,128
20,155.88,118
21,153.02,116
22,149.74,108
23,148.42,108
24,147.8,108
25,143.94,108
26,144.8,108
27,142.4,108
28,139.9,108
29,137.02,108
30,136.92,108
31,135.56,102
32,135.02,102
33,133.58,102
34,133.28,102
35,131.28,100
36,127.54,100
37,126.5,90
38,124.34,88
39,122.68,88
40,119.22,88
41,116.02,80
42,114.92,80
43,114.12,78
44,108.88,78
45,110.92,78
46,106.78,78
47,102.44,78
48,102.02,78
49,101.18,78
50,101.84,78
51,101.46,78
52,102.92,78
53,102.64,78
54,102.38,74
55,99.72,74
56,99.34,74
57,99.14,74
58,97.48,72
59,96.58,68
60,97.0,66
61,94.52,66
62,93.18,66
63,92.66,66
64,93.22,66
65,95.18,66
66,94.72,66
67,93.48,66
68,93.48,62
69,93.32,62
70,92.5,62
71,92.4,62
72,91.34,62
73,89.42,62
74,90.6,62
75,90.12,62
76,89.74,62
77,90.56,60
78,89.6,60
79,90.0,60
80,88.76,60
81,85.1,58
82,83.74,58
83,84.26,58
84,82.82,58
85,84.14,58
86,85.32,58
87,85.02,58
88,84.62,58
89,83.46,58
90,83.2,58
91,83.18,58
92,84.8,58
93,83.4,58
94,81.62,58
95,80.48,56
96,81.2,56
97,81.66,56
98,81.1,56
99,81.74,56
100,82.16,56
101,81.72,56
102,83.02,52
103,82.4,52
104,83.06,52
105,83.44,52
106,82.24,52
107,82.86,52
108,82.4,52
109,80.38,52
110,81.08,52
111,80.62,52
112,79.64,52
113,78.08,52
114,77.22,52
115,78.56,52
116,77.3,52
117,77.06,52
118,76.84,52
119,76.84,52
120,77.64,48
121,78.18,48
122,77.42,48
123,78.06,48
124,80.06,48
125,79.74,48
126,81.0,46
127,82.26,46
128,81.94,46
129,81.34,46
130,80.12,46
131,82.26,46
132,83.52,46
133,83.76,46
134,83.46,46
135,82.48,46
136,83.38,46
137,82.32,46
138,80.44,44
139,76.04,44
140,74.88,44
141,73.52,44
142,74.12,44
143,75.92,44
144,76.26,44
145,77.16,44
146,77.04,44
147,74.82,44
148,74.12,44
149,73.6,44
150,71.5,44
151,71.56,44
152,73.28,44
153,71.94,44
154,72.18,44
155,74.24,44
156,74.86,44
157,75.32,44
158,74.88,44
159,74.88,44
160,76.48,44
161,76.56,44
162,74.76,44
163,75.68,44
164,77.36,44
165,76.92,44
166,75.26,44
167,75.56,44
168,74.98,44
169,73.04,40
170,70.86,40
171,69.02,40
172,68.0,40
173,69.28,40
174,68.56,40
175,66.78,40
176,68.2,40
177,70.12,40
178,69.62,40
179,70.56,40
180,69.86,40
181,70.62,40
182,69.88,40
183,71.5,40
184,73.02,40
185,71.92,40
186,72.62,40
187,70.58,40
188,71.64,40
189,71.72,40
190,72.5,40
191,75.94,40
192,77.68,40
193,77.72,40
194,75.56,36
195,74.88,36
196,73.12,36
197,71.06,36
198,70.08,36
199,71.24,36
200,71.34,36
201,70.06,36
202,69.82,36
203,68.6,36
204,68.62,36
205,67.12,36
206,65.94,36
207,67.08,36
208,66.06,36
209,67.24,36
210,68.52,36
211,66.68,36
212,67.36,36
213,70.34,36
214,69.38,36
215,67.88,36
216,67.88,36
217,69.08,36
218,67.92,36
219,67.78,36
220,68.02,36
221,65.62,36
222,65.52,36
223,65.66,36
224,67.04,36
225,67.52,36
226,67.6,36
227,67.84,36
228,67.66,36
229,67.1,36
230,69.18,36
231,67.02,36
232,64.82,36
233,65.26,36
234,65.7,36
235,67.18,36
236,67.08,36
237,69.42,36
238,69.44,36
239,71.94,36
240,70.8,36
241,69.0,36
242,69.96,36
243,71.92,36
244,70.04,36
245,71.92,36
246,74.08,36
247,73.44,36
248,74.96,36
249,73.6,36
250,73.72,36
251,72.44,36
252,70.48,36
253,67.68,36
254,68.68,36
255,68.34,36
256,68.36,36
257,67.18,36
258,66.1,34
259,65.9,34
260,65.44,34
261,65.32,34
262,64.42,34
263,66.72,34
264,68.86,34
265,70.08,34
266,70.34,34
267,68.88,34
268,68.66,34
269,69.5,34
270,68.9,34
271,69.74,34
272,69.82,34
273,69.48,34
274,70.82,34
275,70.7,34
276,69.78,34
277,66.6,34
278,68.26,34
279,68.54,34
280,68.8,34
281,69.88,34
282,70.56,34
283,71.1,34
284,69.48,34
285,69.6,34
286,68.6,34
287,69.2,34
288,70.62,34
289,69.5,34
290,68.44,34
291,69.0,34
292,68.82,34
293,68.32,34
294,68.1,34
295,67.2,34
296,66.74,34
297,68.32,34
298,67.18,34
299,64.66,34
300,65.26,34
301,66.12,34
302,64.36,34
303,65.46,34
304,64.56,34
305,64.8,34
306,64.86,34
