Figure: large_5
File Number: 22
Nodes: 300
Edges: 22543
Max Generations: 1000
Population Size: 100
Mutation Rate: 0.01
Colors Used: 190
Runtime: 4.67

Generation,Average Fitness,Best Fitness
0,118.32,96
1,114.11,96
2,111.04,85
3,109.33,78
4,105.53,78
5,102.91,77
6,101.32,77
7,99.1,73
8,95.23,73
9,92.41,66
10,89.81,66
11,87.73,66
12,84.04,66
13,81.02,63
14,80.33,63
15,78.26,63
16,76.7,63
17,74.83,63
18,74.62,62
19,73.31,60
20,71.71,59
21,70.69,57
22,69.27,57
23,68.81,57
24,67.65,57
25,66.19,49
26,64.88,49
27,64.07,49
28,62.96,49
29,61.08,47
30,60.23,46
31,59.47,46
32,59.01,46
33,57.28,46
34,56.77,46
35,55.34,43
36,55.18,43
37,53.34,43
38,52.55,43
39,52.39,43
40,52.04,40
41,51.59,39
42,50.95,39
43,50.53,39
44,49.8,39
45,48.88,38
46,47.87,37
47,47.23,37
48,46.3,37
49,45.38,37
50,44.03,35
51,43.26,35
52,42.24,34
53,42.82,33
54,42.47,33
55,42.55,32
56,41.38,32
57,41.6,32
58,41.65,32
59,41.11,31
60,39.7,31
61,40.15,31
62,39.95,31
63,40.17,31
64,39.82,31
65,39.29,30
66,39.18,30
67,38.79,29
68,38.13,27
69,37.62,27
70,37.2,26
71,36.86,26
72,36.23,26
73,36.49,26
74,36.39,26
75,35.8,26
76,35.35,26
77,35.38,24
78,35.38,24
79,35.02,24
80,34.0,24
81,33.14,24
82,32.65,24
83,32.67,22
84,32.41,22
85,32.16,21
86,30.94,21
87,30.33,21
88,30.13,20
89,29.89,20
90,29.89,20
91,28.72,20
92,28.14,20
93,28.33,20
94,28.45,20
95,28.71,20
96,27.95,20
97,27.56,20
98,27.11,20
99,26.86,20
100,26.56,20
101,26.08,20
102,26.26,20
103,26.51,20
104,26.64,19
105,26.54,19
106,26.75,19
107,26.99,19
108,27.6,19
109,28.09,19
110,28.46,17
111,29.14,17
112,28.85,17
113,27.5,15
114,26.34,15
115,25.4,15
116,24.15,15
117,23.49,15
118,23.54,15
119,22.86,15
120,22.13,15
121,22.06,15
122,22.39,13
123,21.98,13
124,22.44,13
125,22.49,12
126,22.33,12
127,22.24,12
128,22.26,12
129,22.47,12
130,21.77,12
131,21.57,12
132,21.76,12
133,21.53,12
134,21.99,12
135,22.18,12
136,22.68,12
137,22.18,12
138,22.64,11
139,22.21,11
140,21.61,11
141,21.34,10
142,20.75,10
143,21.09,10
144,20.66,10
145,20.18,10
146,19.45,10
147,18.94,10
148,18.4,10
149,17.79,9
150,17.6,9
151,17.77,9
152,17.93,9
153,17.88,9
154,18.5,9
155,18.58,9
156,18.91,9
157,19.17,9
158,18.92,9
159,18.86,9
160,18.89,9
161,18.5,9
162,18.07,9
163,17.85,9
164,18.5,9
165,19.47,9
166,19.12,9
167,19.42,9
168,19.22,9
169,18.88,9
170,18.87,9
171,18.63,9
172,18.12,9
173,17.96,9
174,18.35,9
175,18.16,9
176,18.18,9
177,18.35,9
178,18.73,9
179,18.77,8
180,18.63,8
181,18.72,8
182,19.27,8
183,19.35,8
184,19.49,8
185,19.41,8
186,19.75,8
187,19.58,8
188,18.99,8
189,18.89,8
190,19.01,8
191,18.98,8
192,19.53,8
193,18.88,8
194,18.74,7
195,18.47,7
196,17.83,7
197,16.66,7
198,15.97,7
199,16.3,7
200,15.54,7
201,15.7,7
202,15.51,7
203,16.26,7
204,16.71,7
205,16.83,7
206,16.8,7
207,16.8,7
208,17.32,7
209,17.44,6
210,17.31,6
211,17.75,6
212,17.51,6
213,17.63,6
214,17.62,6
215,17.82,6
216,18.25,6
217,18.4,6
218,18.07,6
219,16.97,6
220,16.89,6
221,16.26,6
222,16.88,6
223,16.42,6
224,15.53,6
225,15.77,6
226,15.81,6
227,15.71,6
228,15.72,6
229,15.25,6
230,15.21,6
231,15.8,6
232,16.05,6
233,15.27,6
234,14.89,6
235,15.09,6
236,15.11,6
237,15.14,6
238,15.23,6
239,15.56,6
240,15.87,6
241,16.56,6
242,16.97,6
243,17.48,6
244,17.02,6
245,16.95,6
246,16.84,6
247,17.01,6
248,17.27,6
249,16.83,6
250,16.45,6
251,16.05,6
252,15.37,6
253,15.36,6
254,15.93,6
255,15.86,6
256,15.83,6
257,15.72,6
258,16.16,6
259,15.84,6
260,16.13,6
261,15.04,6
262,14.41,6
263,14.38,5
264,14.88,4
265,14.58,4
266,14.77,4
267,13.93,4
268,14.2,4
269,13.61,4
270,13.61,4
271,13.95,4
272,14.41,4
273,14.19,4
274,14.65,4
275,14.32,4
276,13.33,4
277,13.29,4
278,13.75,4
279,13.63,4
280,13.23,4
281,13.18,4
282,13.41,4
283,13.51,4
284,14.51,4
285,13.84,4
286,14.08,4
287,13.7,4
288,13.37,4
289,13.41,4
290,13.08,4
291,12.74,4
292,13.39,4
293,13.45,4
294,13.12,4
295,13.9,4
296,13.92,4
297,13.81,4
298,13.69,4
299,13.85,4
300,13.69,4
301,13.51,4
302,14.14,4
303,13.9,4
304,13.81,4
305,14.06,4
306,13.34,4
307,13.19,4
308,13.24,4
309,13.65,4
310,13.5,4
311,13.33,4
312,12.93,4
313,14.09,4
314,14.05,4
315,13.85,4
316,13.73,4
317,13.62,4
318,13.89,4
319,14.47,4
320,14.15,4
321,14.54,4
322,14.67,4
323,14.77,4
324,14.41,4
325,14.26,4
326,14.64,4
327,14.73,4
328,14.48,4
329,14.25,4
330,14.2,4
331,14.42,4
332,14.27,4
333,14.82,4
334,14.87,4
335,15.01,4
336,14.85,4
337,14.89,4
338,14.71,4
339,14.85,4
340,14.53,4
341,14.76,4
342,15.32,4
343,15.52,4
344,15.42,4
345,15.74,4
346,15.71,4
347,15.79,4
348,15.76,4
349,15.03,4
350,14.71,4
351,14.47,4
352,14.01,4
353,14.06,4
354,13.68,4
355,13.83,4
356,13.85,4
357,13.3,4
358,13.33,4
359,13.46,4
360,13.49,4
361,13.68,4
362,13.01,4
363,13.12,4
364,13.19,4
365,12.8,4
366,12.8,4
367,12.99,4
368,12.08,4
369,12.42,4
370,12.79,4
371,13.19,4
372,13.04,4
373,13.12,4
374,13.71,4
375,14.02,4
376,14.82,4
377,14.78,4
378,14.83,4
379,14.67,4
380,14.98,4
381,14.27,4
382,14.43,4
383,14.68,4
384,14.58,4
385,14.37,4
386,14.3,4
387,14.47,4
388,14.47,4
389,14.82,4
390,15.3,4
391,15.31,4
392,15.11,4
393,15.53,4
394,14.91,4
395,14.46,4
396,14.93,4
397,14.7,4
398,14.34,4
399,14.28,4
400,14.15,4
401,13.64,4
402,13.9,4
403,13.51,4
404,13.71,4
405,13.81,4
406,13.26,4
407,13.17,4
408,13.24,4
409,12.74,4
410,13.37,4
411,13.11,3
412,12.71,3
413,12.65,3
414,12.31,3
415,12.44,3
416,12.07,3
417,12.4,3
418,13.03,3
419,13.09,3
420,13.52,3
421,13.42,3
422,12.89,3
423,12.81,3
424,12.96,3
425,12.84,3
426,12.96,3
427,12.79,3
428,12.63,3
429,12.5,3
430,12.67,3
431,13.16,3
432,13.63,3
433,14.29,3
434,14.96,3
435,14.29,3
436,14.31,3
437,14.44,3
438,14.55,3
439,14.71,3
440,15.25,3
441,14.74,3
442,14.73,3
443,14.43,3
444,14.32,3
445,14.54,3
446,15.1,3
447,15.42,3
448,15.01,3
449,15.08,3
450,15.19,3
451,15.45,3
452,15.48,3
453,14.82,3
454,14.59,3
455,13.99,3
456,14.3,3
457,14.72,3
458,13.95,3
459,14.63,3
460,13.64,3
461,13.96,3
462,13.64,3
463,13.47,3
464,13.43,3
465,12.7,3
466,13.18,3
467,13.19,3
468,12.1,3
469,11.92,3
470,12.26,3
471,11.86,3
472,12.07,3
473,11.99,3
474,12.44,3
475,12.77,3
476,13.01,3
477,12.78,3
478,13.1,3
479,13.06,3
480,13.15,3
481,13.32,3
482,13.5,3
483,12.49,3
484,12.24,3
485,12.35,3
486,11.83,3
487,11.29,3
488,11.64,3
489,11.93,3
490,12.07,3
491,12.29,3
492,12.42,3
493,12.88,3
494,13.5,3
495,13.66,3
496,13.6,3
497,14.57,3
498,14.79,3
499,14.17,3
500,14.16,3
501,13.61,3
502,14.05,3
503,15.09,3
504,15.25,3
505,15.65,3
506,15.55,3
507,15.99,3
508,15.75,3
509,15.55,3
510,15.75,3
511,15.63,3
512,16.2,3
513,16.46,3
514,16.51,3
515,16.13,3
516,15.11,3
517,14.55,3
518,13.44,3
519,12.27,3
520,12.31,3
521,12.46,3
522,12.55,3
523,12.32,3
524,12.27,3
525,12.55,3
526,13.05,3
527,13.21,3
528,12.78,3
529,13.08,3
530,12.61,3
531,12.29,3
532,12.1,3
533,12.28,3
534,11.98,3
535,12.25,3
536,12.75,3
537,12.48,3
538,12.59,3
539,12.52,3
540,13.04,3
541,13.12,3
542,13.6,3
