Figure: medium_3
File Number: 32
Nodes: 100
Edges: 2524
Max Generations: 2000
Population Size: 150
Mutation Rate: 0.01
Colors Used: 77
Runtime: 0.64

Generation,Average Fitness,Best Fitness
0,48.8,28
1,45.14666666666667,28
2,43.16,20
3,41.32,18
4,40.906666666666666,18
5,39.906666666666666,18
6,39.4,18
7,37.93333333333333,18
8,37.64,18
9,38.04,18
10,36.89333333333333,18
11,36.04,18
12,35.76,14
13,34.76,14
14,32.906666666666666,14
15,31.813333333333333,14
16,30.746666666666666,14
17,29.8,14
18,29.72,12
19,28.653333333333332,12
20,27.053333333333335,12
21,25.893333333333334,10
22,24.52,10
23,24.48,10
24,22.986666666666668,8
25,21.64,4
26,20.8,4
27,20.2,4
28,20.2,4
29,20.173333333333332,4
30,20.28,4
31,18.813333333333333,4
32,18.066666666666666,4
33,17.413333333333334,4
34,15.92,4
35,15.706666666666667,4
36,15.026666666666667,4
37,14.813333333333333,2
38,14.52,2
39,13.226666666666667,0
