Figure: medium_4
File Number: 3
Nodes: 100
Edges: 2527
Max Generations: 1000
Population Size: 100
Mutation Rate: 0.02
Colors Used: 32
Runtime: 62.67

Generation,Average Fitness,Best Fitness
0,153.78,116
1,151.1,116
2,146.58,116
3,143.72,106
4,139.74,106
5,137.36,106
6,135.18,106
7,136.14,106
8,133.18,104
9,133.38,104
10,133.34,98
11,132.92,94
12,127.78,94
13,128.56,94
14,126.06,92
15,124.12,92
16,121.64,92
17,120.5,92
18,120.14,92
19,114.96,90
20,110.58,84
21,110.36,84
22,109.72,84
23,110.08,82
24,107.24,80
25,105.96,80
26,104.62,80
27,100.62,80
28,95.56,76
29,94.96,72
30,95.18,68
31,93.42,68
32,92.74,68
33,90.22,68
34,90.28,66
35,91.38,66
36,90.36,66
37,89.9,66
38,88.82,66
39,86.86,66
40,87.72,66
41,86.54,66
42,85.2,66
43,83.82,62
44,83.4,62
45,81.2,62
46,80.4,62
47,80.28,58
48,79.58,58
49,78.34,56
50,78.28,56
51,77.24,56
52,78.0,56
53,78.06,56
54,77.1,56
55,77.02,56
56,75.88,56
57,74.42,56
58,74.44,56
59,74.06,56
60,73.44,52
61,70.72,52
62,69.76,52
63,71.42,52
64,71.46,52
65,69.5,52
66,70.06,52
67,69.14,46
68,69.08,46
69,68.82,44
70,66.82,40
71,65.16,40
72,64.54,40
73,64.46,40
74,64.14,40
75,63.64,40
76,62.26,40
77,63.22,40
78,62.46,38
79,63.0,38
80,62.2,38
81,61.08,38
82,58.38,38
83,57.64,38
84,56.84,38
85,55.28,38
86,53.64,38
87,54.7,38
88,55.08,38
89,54.52,38
90,53.06,38
91,52.76,38
92,52.1,34
93,51.58,34
94,51.12,34
95,50.84,34
96,50.64,34
97,51.46,34
98,50.64,32
99,49.8,32
100,50.9,32
101,50.54,32
102,50.2,30
103,50.26,30
104,49.56,30
105,49.26,30
106,48.92,30
107,49.1,30
108,48.32,30
109,48.78,30
110,48.94,30
111,50.14,30
112,48.56,30
113,49.3,28
114,49.04,28
115,48.3,28
116,48.58,28
117,49.42,28
118,48.08,26
119,48.36,26
120,47.7,26
121,47.7,26
122,47.22,26
123,47.08,26
124,44.8,26
125,45.24,26
126,44.84,26
127,46.7,26
128,46.12,26
129,44.48,26
130,44.2,26
131,44.24,26
132,44.72,26
133,44.36,24
134,44.94,24
135,45.16,22
136,45.12,22
137,43.96,22
138,43.14,22
139,42.78,22
140,43.42,22
141,43.76,22
142,44.92,22
143,43.32,22
144,43.36,22
145,44.5,22
146,42.7,22
147,41.74,22
148,40.9,22
149,40.38,22
150,41.14,22
151,41.12,22
152,41.0,22
153,41.84,22
154,43.08,22
155,42.96,22
156,45.08,22
157,45.3,22
158,45.34,22
159,45.14,22
160,44.94,22
161,44.76,22
162,44.1,22
163,43.74,22
164,42.5,22
165,42.52,22
166,42.32,22
167,41.76,22
168,41.48,22
169,39.66,20
170,38.92,20
171,40.74,20
172,41.92,20
173,41.6,20
174,41.34,20
175,40.22,20
176,40.58,20
177,42.06,20
178,41.96,20
179,41.66,20
180,41.38,18
181,41.24,18
182,40.92,18
183,42.18,18
184,42.58,18
185,42.7,18
186,42.18,18
187,42.34,18
188,42.24,18
189,43.16,18
190,43.74,18
191,44.12,18
192,42.82,18
193,43.4,18
194,42.32,18
195,42.26,18
196,41.14,18
197,41.6,14
198,41.96,14
199,39.96,14
200,39.18,14
201,39.5,14
202,40.56,14
203,40.86,14
204,39.8,14
205,39.5,12
206,37.86,12
207,37.4,12
208,37.6,12
209,37.12,12
210,38.04,12
211,38.76,12
212,38.9,12
213,38.82,12
214,38.34,12
215,37.94,12
216,36.6,12
217,37.52,12
218,36.6,12
219,36.12,10
220,36.82,10
221,36.98,10
222,37.8,10
223,38.18,10
224,36.28,10
225,34.96,10
226,34.16,10
227,35.72,10
228,34.68,10
229,33.44,10
230,33.12,10
231,32.74,10
232,33.0,10
233,33.3,10
234,34.52,10
235,33.44,10
236,33.5,10
237,33.3,10
238,34.64,10
239,33.7,10
240,33.96,10
241,33.0,10
242,31.46,10
243,31.58,10
244,31.94,10
245,32.7,10
246,31.4,10
247,29.96,10
248,31.88,10
249,33.38,10
250,32.98,10
251,33.98,10
252,33.12,10
253,32.44,10
254,33.4,10
255,32.36,10
256,33.84,10
257,35.24,10
258,35.76,10
259,36.26,10
260,35.48,10
261,33.52,10
262,33.78,10
263,32.32,10
264,34.2,10
265,35.8,10
266,36.74,10
267,38.48,10
268,38.04,10
269,37.9,10
270,37.82,10
271,38.18,10
272,37.9,10
273,37.1,10
274,36.34,10
275,35.5,10
276,35.7,10
277,37.22,10
278,35.72,10
279,36.96,10
280,35.72,10
281,35.16,10
282,33.7,10
283,33.6,10
284,32.52,10
285,32.74,10
286,30.32,10
287,29.5,10
288,29.86,10
289,30.08,10
290,29.86,10
291,31.0,10
292,31.1,10
293,29.98,10
294,30.36,10
295,31.54,10
296,33.48,10
297,34.08,10
298,34.06,10
299,34.32,10
300,34.2,10
301,34.8,10
302,34.84,10
303,36.72,10
304,36.14,10
305,34.62,10
306,35.44,10
307,37.04,10
308,34.98,10
309,36.96,10
310,37.76,10
311,37.02,10
312,35.8,10
313,33.78,10
314,32.86,10
315,30.16,8
316,30.64,8
317,28.72,8
318,28.06,8
319,26.54,8
320,27.28,8
321,28.12,8
322,29.14,8
323,30.0,8
324,30.7,8
325,31.62,8
326,32.16,8
327,33.1,8
328,33.24,8
329,32.84,8
330,33.88,6
331,32.68,6
332,31.76,6
333,31.34,6
334,31.16,6
335,31.28,6
336,30.9,6
337,31.18,6
338,31.36,6
339,30.98,6
340,31.46,6
341,33.56,6
342,34.62,6
343,34.76,6
344,35.46,6
345,36.14,6
346,36.0,6
347,35.94,6
348,37.16,6
349,36.86,6
350,35.82,6
351,35.2,6
352,36.82,6
353,36.96,6
354,37.68,6
355,37.06,6
356,34.08,6
357,33.14,6
358,33.72,6
359,31.16,6
360,31.74,6
361,34.12,6
362,33.4,6
363,32.54,6
364,33.08,6
365,34.04,6
366,32.42,6
367,31.48,6
368,30.78,6
369,31.1,6
370,31.12,6
371,31.58,6
372,31.04,6
373,31.12,6
374,29.8,6
375,29.64,6
376,31.3,6
377,30.7,6
378,31.7,6
