Figure: small_min_colors
File Number: 20
Max Generations: 1000
Population Size: 100
Mutation Rate: 0.02
Colors Used: 5
Runtime: 0.9356

Generation,Average Fitness,Best Fitness
0,35.12,16
1,30.2,14
2,29.24,14
3,30.24,12
4,28.52,12
5,27.08,12
6,25.92,10
7,24.0,10
8,21.78,10
9,19.58,8
10,18.44,8
11,16.86,8
12,15.1,6
13,14.08,6
14,12.9,6
15,11.6,6
16,10.54,4
17,10.12,4
18,9.56,4
19,9.44,4
20,8.56,4
21,8.54,4
22,8.02,4
23,7.6,4
24,7.08,4
25,7.14,4
26,6.82,4
27,6.62,2
28,6.2,2
29,5.92,2
30,5.56,2
31,5.62,2
32,5.28,2
33,5.16,2
34,4.84,2
35,5.16,2
36,4.82,2
37,3.96,2
38,4.74,2
39,4.6,2
40,4.52,2
41,4.18,2
42,4.52,2
43,4.32,2
44,3.76,2
45,4.82,2
46,3.82,2
47,4.08,2
48,3.52,2
49,3.58,2
50,3.62,2
51,3.78,2
52,3.68,2
53,4.02,2
54,3.46,2
55,3.22,2
56,3.38,2
57,3.8,0
