Figure: small_2
File Number: 8
Max Generations: 1000
Population Size: 100
Mutation Rate: 0.02
Colors Used: 5
Runtime: 0.2523 s

Generation,Average Fitness,Best Fitness
0,37.04,20
1,32.32,12
2,31.5,12
3,30.68,12
4,29.98,12
5,28.08,12
6,28.48,12
7,27.76,12
8,27.04,12
9,26.04,10
10,24.08,8
11,23.0,8
12,22.12,8
13,20.58,8
14,19.66,8
15,18.22,8
16,16.66,8
17,14.9,8
18,14.02,8
19,13.22,8
20,12.0,8
21,11.68,8
22,11.7,4
23,10.38,4
24,10.54,4
25,10.58,4
26,10.12,4
27,8.64,4
28,9.22,4
29,8.78,4
30,7.12,4
31,6.98,4
32,7.1,2
33,5.94,2
34,5.64,2
35,5.48,2
36,5.72,2
37,6.12,2
38,5.74,2
39,5.6,2
40,5.84,2
41,4.96,2
42,5.28,2
43,4.94,2
44,4.88,2
45,4.42,2
46,4.36,2
47,4.06,2
48,3.44,2
49,3.9,2
50,4.4,2
51,4.08,2
52,4.44,2
53,4.44,2
54,4.04,2
55,3.88,2
56,3.98,2
57,4.44,2
58,3.5,2
59,3.42,2
60,3.74,2
61,4.02,2
62,4.14,2
63,4.0,2
64,4.38,2
65,4.26,2
66,3.66,2
67,3.5,2
68,3.42,2
69,4.06,2
70,4.08,2
71,3.58,2
72,3.4,2
73,3.7,2
74,3.24,2
75,3.72,2
76,4.06,2
77,3.76,2
78,3.56,2
79,4.0,2
80,4.16,2
81,3.66,2
82,3.86,2
83,3.56,2
84,3.56,2
85,3.66,2
86,2.86,2
87,3.64,2
88,3.4,2
89,3.4,2
90,3.18,2
91,4.04,2
92,4.06,2
93,4.42,2
94,4.44,2
95,4.0,2
96,4.0,2
97,3.64,2
98,3.7,2
99,3.94,2
100,4.1,2
101,4.16,2
102,3.46,2
103,3.68,2
104,3.48,2
105,3.58,2
106,3.82,2
107,3.54,2
108,3.64,2
109,4.04,2
110,4.0,2
111,3.88,2
112,3.78,2
113,3.78,2
114,3.4,2
115,3.22,2
116,3.32,2
117,3.48,2
118,3.64,2
119,3.84,2
120,3.86,2
121,3.22,2
122,3.44,2
123,3.52,2
124,3.48,2
125,3.6,2
126,3.72,2
127,3.02,2
128,3.5,2
129,3.38,2
130,4.08,2
131,3.3,2
132,3.4,2
133,3.52,2
134,3.2,2
135,3.24,2
136,3.46,2
137,3.7,2
138,3.46,2
139,3.62,2
140,4.02,2
141,4.26,2
142,4.3,2
143,3.46,2
144,3.9,2
145,3.94,2
146,3.88,2
147,3.92,2
148,3.68,2
149,3.22,2
150,3.22,2
151,3.82,2
152,3.64,2
153,3.72,2
154,3.8,2
155,3.58,2
156,3.24,2
157,3.54,2
158,3.72,2
159,3.7,2
160,3.96,2
161,4.06,2
162,3.68,2
163,3.8,2
164,3.48,2
165,3.66,2
166,3.84,2
167,3.72,2
168,3.82,2
169,4.02,2
170,3.66,2
171,3.82,2
172,3.42,2
173,3.18,2
174,3.66,2
175,4.34,2
176,3.72,2
177,3.64,2
178,3.86,2
179,3.74,2
180,4.1,2
181,3.98,2
182,3.96,2
183,3.36,2
184,3.2,2
185,3.66,2
186,4.02,2
187,4.72,2
188,4.54,2
189,3.76,2
190,3.82,2
191,3.72,2
192,3.52,2
193,3.06,2
194,3.62,2
195,3.5,2
196,3.8,2
197,4.16,2
198,3.68,2
199,4.06,2
200,4.5,2
201,3.96,2
202,3.78,2
203,3.58,2
204,3.94,2
205,3.88,2
206,3.9,2
207,3.96,2
208,3.82,2
209,3.36,2
210,3.38,2
211,2.9,2
212,3.24,2
213,3.7,2
214,3.88,2
215,4.0,2
216,3.76,2
217,3.94,2
218,3.82,2
219,3.84,2
220,4.18,2
221,3.72,2
222,4.14,2
223,4.34,2
224,4.08,2
225,3.72,2
226,3.36,2
227,4.04,2
228,3.78,2
229,3.48,2
230,4.14,2
231,3.84,2
232,3.72,2
233,3.32,2
234,3.5,2
235,3.24,2
236,3.66,2
237,3.96,2
238,3.66,2
239,3.6,2
240,3.34,2
241,3.74,2
242,4.12,2
243,3.74,2
244,3.62,2
245,3.66,2
246,3.6,2
247,3.28,2
248,3.62,2
249,3.7,2
250,4.0,2
251,4.26,2
252,3.9,2
253,3.5,2
254,3.5,2
255,3.38,2
256,3.52,2
257,3.58,2
258,3.7,2
259,3.62,2
260,3.72,2
261,3.98,2
262,3.22,2
263,3.84,2
264,3.82,2
265,3.62,2
266,3.54,2
267,3.82,2
268,3.76,2
269,3.4,2
270,4.06,2
271,3.72,2
272,3.76,2
273,4.02,2
274,3.66,2
275,3.52,2
276,3.38,2
277,3.86,2
278,3.64,2
279,3.38,2
280,3.44,2
281,3.42,2
282,3.58,2
283,3.5,2
284,3.54,2
285,3.7,2
286,3.64,2
287,3.56,2
288,3.12,2
289,3.12,2
290,3.5,2
291,3.58,2
292,3.62,2
293,3.78,2
294,3.42,2
295,3.34,2
296,3.84,2
297,3.84,2
298,3.62,2
299,3.84,2
