Figure: small_5
File Number: 52
Nodes: 36
Edges: 580
Max Generations: 2000
Population Size: 150
Mutation Rate: 0.01
Colors Used: 8
Runtime: 3.73

Generation,Average Fitness,Best Fitness
0,145.04,96
1,137.65333333333334,92
2,130.50666666666666,84
3,126.42666666666666,84
4,122.02666666666667,84
5,118.98666666666666,84
6,118.08,80
7,113.78666666666666,76
8,108.53333333333333,68
9,107.49333333333334,68
10,105.94666666666667,68
11,103.54666666666667,68
12,102.88,68
13,103.41333333333333,68
14,102.98666666666666,68
15,101.17333333333333,68
16,96.90666666666667,68
17,95.65333333333334,68
18,94.29333333333334,68
19,91.09333333333333,60
20,90.69333333333333,60
21,87.84,60
22,87.86666666666666,60
23,83.94666666666667,56
24,81.81333333333333,56
25,79.22666666666667,56
26,77.54666666666667,52
27,71.54666666666667,48
28,69.36,44
29,67.30666666666667,44
30,65.2,44
31,61.86666666666667,40
32,58.693333333333335,40
33,55.86666666666667,32
34,54.8,32
35,52.16,32
36,50.08,32
37,46.85333333333333,28
38,44.053333333333335,28
39,42.4,28
40,38.586666666666666,28
41,37.36,24
42,35.973333333333336,24
43,35.25333333333333,24
44,32.85333333333333,20
45,32.4,20
46,31.6,20
47,30.826666666666668,20
48,30.08,20
49,29.386666666666667,20
50,28.08,16
51,26.826666666666668,16
52,26.85333333333333,16
53,25.226666666666667,16
54,23.893333333333334,16
55,23.14666666666667,16
56,22.88,12
57,22.746666666666666,12
58,22.16,12
59,21.12,12
60,21.626666666666665,8
61,20.506666666666668,8
62,20.0,8
63,19.28,8
64,17.6,4
65,16.4,4
66,16.16,4
67,15.04,4
68,14.533333333333333,4
69,13.306666666666667,4
70,11.813333333333333,4
71,10.0,4
72,8.613333333333333,4
73,8.72,4
74,7.8933333333333335,0
