Timestamp,Runtime_s,CPU_Usage_percent,Memory_Usage_MB,Colors_Used
2024-09-16 11:34:15,0.020,29.8,108.29,2
2024-09-16 11:34:27,0.008,10.0,108.29,2
2024-09-16 11:34:32,0.008,9.9,108.29,2
2024-09-16 11:34:32,0.009,10.0,108.29,2
2024-09-16 11:34:33,0.009,20.0,108.29,2
2024-09-16 11:34:33,0.009,9.9,108.29,2
2024-09-16 11:34:33,0.009,19.9,108.41,2
2024-09-16 11:34:33,0.010,10.0,108.41,2
2024-09-16 11:34:33,0.012,19.9,108.41,2
2024-09-16 11:34:33,0.018,19.9,108.41,2
2024-09-17 10:38:27,0.005,19.9,108.86,2
2024-09-17 10:38:27,0.006,9.9,108.98,2
2024-09-17 10:38:27,0.006,0.0,108.98,2
2024-09-17 10:38:27,0.005,10.0,108.98,2
2024-09-17 10:38:28,0.005,10.0,108.98,2
2024-09-17 10:38:28,0.005,19.9,108.98,2
2024-09-17 10:38:28,0.005,0.0,108.98,2
2024-09-17 10:38:28,0.005,0.0,108.98,2
2024-09-17 10:38:28,0.061,19.9,108.98,2
2024-09-17 10:38:29,0.005,9.9,108.98,2
2024-09-17 10:38:29,0.004,0.0,108.98,2
